"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.145997833E0,3.814667358E0,-9.661808167E0,6.126759338E-1,1.040565211E1
1.155978833E0,4.742887115E0,-1.111094467E1,1.437909851E0,1.216616844E1
1.165959833E0,6.978188782E0,-1.044662613E1,2.786006470E0,1.286813694E1
1.175940833E0,7.298372955E0,-9.628876648E0,3.040926361E0,1.245908289E1
1.185921833E0,7.876171417E0,-9.330097961E0,2.147883453E0,1.239750812E1
1.195902833E0,9.371711426E0,-9.452393646E0,1.857187958E0,1.343971234E1
1.205883833E0,1.094149704E1,-9.407187653E0,2.518213348E0,1.464762559E1
1.215864833E0,1.285167480E1,-8.194858704E0,3.806284790E0,1.571015781E1
1.225845833E0,1.423180481E1,-7.198081512E0,4.212090912E0,1.649540407E1
1.235827833E0,1.573138641E1,-5.859864349E0,4.818030853E0,1.746504938E1
1.245808833E0,1.702439758E1,-4.442461853E0,4.891827393E0,1.826186068E1
1.255789833E0,1.869642059E1,-3.475772095E0,5.155279541E0,1.970314802E1
1.265770833E0,2.108620102E1,-2.073188782E0,6.014642487E0,2.202502916E1
1.275751833E0,2.325219681E1,-4.986131287E-1,6.599476318E0,2.417573906E1
1.285732833E0,2.537283691E1,1.107546844E0,5.107528839E0,2.590548907E1
1.295713542E0,2.850148087E1,3.961212616E0,9.364526367E-1,2.879066794E1
1.305694542E0,2.901431442E1,6.032006378E0,-1.812730408E-1,2.963525607E1
1.315675542E0,2.853067017E1,6.795418854E0,-1.520238647E0,2.936814572E1
1.325656542E0,2.694217346E1,5.486241302E0,-6.062393188E-2,2.749514920E1
1.335638542E0,2.531490738E1,4.843927002E0,2.529739380E-2,2.577418872E1
1.345619542E0,2.373254791E1,5.345533905E0,-2.588417358E0,2.446443270E1
1.355600542E0,2.248100052E1,4.780309296E0,-3.079546051E0,2.318901346E1
