"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.260991708E0,-1.248444861E0,1.030580383E0,-3.584902773E0,3.933476629E0
1.270972708E0,-1.153392231E0,6.564094524E-1,-3.621792272E0,3.857274462E0
1.280954708E0,-1.112462087E0,5.704325782E-1,-3.059490686E0,3.305064066E0
1.290935708E0,-1.204026341E0,6.751540178E-1,-2.360556042E0,2.734545155E0
1.300917708E0,-7.026105691E-1,-3.176157841E-1,-2.975655647E0,3.073933624E0
1.310898708E0,-1.536586878E0,3.823102552E-1,-2.928445812E0,3.329122293E0
1.320881208E0,-1.012791765E0,3.329252565E-1,-3.004895818E0,3.188414224E0
1.330863208E0,-8.659618939E-1,1.078799593E-1,-3.171694077E0,3.289554894E0
1.340844208E0,-9.217996605E-1,1.204565893E0,-2.738790788E0,3.130761662E0
1.350826208E0,-4.916623607E-1,1.797585242E0,-2.926580551E0,3.469570333E0
1.360807208E0,-2.192594042E-1,1.870291276E0,-2.736165973E0,3.321546082E0
1.370789208E0,-3.288170759E-1,1.904785609E0,-1.489438439E0,2.440236822E0
1.380770208E0,-2.243998376E-1,2.023275195E0,7.852079719E-1,2.181868319E0
1.390752208E0,8.501177667E-1,2.073088794E0,2.853026086E0,3.627692823E0
1.400733208E0,2.030973493E0,1.433501928E0,2.638457245E0,3.625084515E0
1.410715208E0,8.817243793E-1,1.663092265E0,1.206410397E0,2.235786173E0
1.420697208E0,-6.098327983E-2,2.385922287E0,7.469817996E-1,2.500865036E0
1.430678208E0,6.755848845E-1,9.768272223E-1,1.070886557E0,1.599188662E0
1.440660208E0,1.010860795E0,6.123053665E-1,3.692738879E0,3.877251325E0
1.450641208E0,8.667481982E-1,1.619033203E0,6.116442511E0,6.386187434E0
1.460623208E0,1.257197120E0,2.042548933E0,6.010741224E0,6.471596465E0
1.470604208E0,1.477208987E0,2.202997992E0,5.234290043E0,5.867975698E0
1.480586208E0,1.540483901E0,2.413002935E0,5.182580191E0,5.920710367E0
1.490568208E0,2.139150637E0,1.946218540E0,5.509343067E0,6.222265912E0
