"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.379516708E0,1.051740434E0,-3.505347311E-2,-5.130224222E-1,1.170717170E0
1.389528708E0,1.168979739E0,3.519672990E-2,-8.524111909E-1,1.447189441E0
1.399540708E0,1.221171474E0,1.600529104E-1,-8.512751500E-1,1.497179376E0
1.409552708E0,1.136411332E0,2.567196643E-1,-7.709787726E-1,1.397048306E0
1.419564708E0,1.002864435E0,3.023302853E-1,-7.243010348E-1,1.273480532E0
1.429577708E0,9.169805315E-1,2.786782980E-1,-6.580036227E-1,1.162533293E0
1.439589708E0,7.438047150E-1,2.036257768E-1,-5.146977226E-1,9.271583773E-1
1.449601708E0,2.733278033E-1,2.617482698E-1,-2.863849282E-1,4.745909522E-1
1.459613708E0,-2.254925726E-1,4.523294932E-1,-5.021186806E-2,5.079075727E-1
1.469625708E0,-4.867064434E-1,6.721538115E-1,-1.285177801E-1,8.397563505E-1
1.479637708E0,-5.505334800E-1,9.605846804E-1,-2.189063785E-1,1.128596493E0
1.489649708E0,-3.535077479E-1,1.121617000E0,-9.329356827E-2,1.179701704E0
1.499661000E0,-7.178422004E-2,1.047100083E0,6.161101498E-2,1.051364578E0
1.509673000E0,2.043482003E-1,8.509254134E-1,1.836820936E-1,8.941875405E-1
1.519685000E0,4.789343244E-1,5.776230454E-1,2.589924771E-1,7.937906354E-1
1.529697000E0,5.892940879E-1,3.723886997E-1,3.113379210E-1,7.634606517E-1
1.539709000E0,4.299893287E-1,1.520147431E-1,1.189972705E-1,4.713381539E-1
1.549721000E0,7.345568318E-2,2.904370487E-2,-2.149388965E-1,2.289934572E-1
1.559733000E0,-1.596702285E-1,2.319333172E-1,-2.513823990E-1,3.774662316E-1
1.569745000E0,-4.654270004E-1,7.688269973E-1,9.084161147E-3,8.987768168E-1
1.579757000E0,-8.767040330E-1,1.454565645E0,8.783102632E-3,1.698366368E0
1.589770000E0,-1.224279781E0,2.020531096E0,-2.616336644E-1,2.376943219E0
1.599782000E0,-1.301412157E0,2.312895387E0,-3.458487725E-1,2.676335190E0
1.609794000E0,-1.285119767E0,2.374851315E0,-1.105508944E-1,2.702530867E0
1.619806000E0,-1.102579342E0,2.115123843E0,9.125807941E-2,2.386997720E0
1.629818000E0,-8.658305508E-1,1.649453927E0,1.273792541E-1,1.867240283E0
1.639830000E0,-6.549553961E-1,1.108984675E0,2.635439497E-1,1.314636449E0
1.649842000E0,-5.842403394E-1,6.424055171E-1,3.506902671E-1,9.364856037E-1
1.659854000E0,-5.601270068E-1,2.313860178E-1,8.343158126E-2,6.117536937E-1
1.669866000E0,-5.127783009E-1,2.119323313E-2,-1.697043977E-1,5.405463178E-1
1.679878000E0,-5.171049482E-1,-4.108546078E-2,-1.957642684E-1,5.544449398E-1
1.689890000E0,-4.465404573E-1,-2.205253994E-1,-1.569918931E-1,5.221841498E-1
1.699902000E0,-4.163094753E-1,-3.866915739E-1,8.447881758E-2,5.744393990E-1
1.709914000E0,-2.742282745E-1,-5.554346162E-1,2.256410553E-1,6.592591640E-1
1.719926000E0,8.837657154E-2,-7.464017558E-1,-8.461505771E-2,7.563634758E-1
1.729938000E0,4.094998080E-1,-9.925742126E-1,-4.705991185E-1,1.172329813E0
1.739950000E0,4.406067029E-1,-1.109950050E0,-6.012597569E-1,1.337025309E0
1.749962000E0,1.727062851E-1,-9.172989124E-1,-4.443087944E-1,1.033767411E0
1.759975000E0,-1.295178732E-1,-5.093591416E-1,-3.247356462E-1,6.177983931E-1
1.769987000E0,-3.571853542E-1,-1.498822635E-1,-4.992692228E-1,6.319144143E-1
1.779999000E0,-4.809238395E-1,1.464715827E-1,-7.236795489E-1,8.811661327E-1
1.790011000E0,-4.768755198E-1,4.086490381E-1,-7.186637342E-1,9.544013100E-1
1.800023000E0,-4.270777076E-1,5.551124346E-1,-5.498686882E-1,8.904497502E-1
1.810035000E0,-3.676688272E-1,5.853232437E-1,-3.486541935E-1,7.741727280E-1
1.820047000E0,-3.008936244E-1,4.222011298E-1,-2.325719062E-1,5.682257111E-1
1.830059000E0,-1.410000506E-1,1.790265405E-1,-3.497343935E-2,2.305529396E-1
1.840071000E0,1.382141447E-1,-2.382506490E-2,1.363395274E-1,1.955997194E-1
1.850083000E0,3.905662313E-1,-2.792215043E-1,1.567333730E-1,5.050465125E-1
1.860095000E0,5.407051876E-1,-4.819128960E-1,4.721268497E-2,7.258313695E-1
1.870107000E0,5.770476794E-1,-5.619753116E-1,-6.183547497E-2,8.078514103E-1
1.880119000E0,5.710384959E-1,-5.508468908E-1,-2.194237840E-1,8.232035337E-1
1.890131000E0,5.924322885E-1,-5.119944817E-1,-3.372422558E-1,8.525530511E-1
1.900143000E0,6.162439048E-1,-4.899849772E-1,-2.247949632E-1,8.187640708E-1
1.910156000E0,6.157159013E-1,-5.170727885E-1,-1.068052777E-1,8.110966077E-1
1.920168000E0,6.382607183E-1,-5.441243470E-1,3.689651549E-2,8.395292743E-1
1.930180000E0,5.252866647E-1,-5.181007290E-1,3.115192578E-1,8.008737063E-1
1.940192000E0,4.439273366E-1,-4.887126231E-1,5.503048174E-1,8.595038687E-1
1.950204000E0,4.140369549E-1,-4.229577595E-1,6.868806088E-1,9.067109998E-1
1.960216000E0,5.239245558E-1,-3.283960032E-1,6.134805107E-1,8.710334162E-1
1.970228000E0,7.112719765E-1,-2.711365592E-1,4.556004256E-1,8.871271646E-1
1.980240000E0,9.316526574E-1,-2.608980846E-1,3.871324905E-1,1.042072958E0
1.990252000E0,1.100644499E0,-3.458943808E-1,4.426850591E-1,1.235731078E0
2.000264000E0,1.227801266E0,-4.231624120E-1,5.042077811E-1,1.393121625E0
2.010276000E0,1.429150722E0,-4.870251167E-1,4.262468183E-1,1.568869530E0
2.020288000E0,1.593879066E0,-3.991683626E-1,4.943517144E-1,1.715858233E0
2.030300000E0,1.536421694E0,-2.287278736E-1,5.912049945E-1,1.662056379E0
2.040312000E0,1.349502582E0,-3.914126158E-2,4.373916113E-1,1.419154917E0
2.050324000E0,1.216563795E0,2.020815271E-1,2.447153489E-1,1.257278813E0
2.060336000E0,1.082983569E0,4.469833839E-1,1.447121555E-1,1.180503775E0
2.070348000E0,8.749609780E-1,5.889011550E-1,1.401583439E-1,1.063957539E0
2.080361000E0,6.004470670E-1,7.271462899E-1,1.935404809E-1,9.626714523E-1
2.090373000E0,3.294876784E-1,8.856537813E-1,2.257984002E-1,9.715604295E-1
2.100385000E0,1.202737176E-1,1.008362280E0,1.911016256E-1,1.033334450E0
2.110397000E0,-1.741271585E-2,1.103343866E0,1.852251738E-1,1.118918788E0
2.120409000E0,-1.072478753E-1,1.192705109E0,2.490802588E-1,1.223146990E0
2.130421000E0,-1.762385881E-1,1.291883826E0,3.153298151E-1,1.341438315E0
2.140433000E0,-2.465390772E-2,1.216674015E0,2.686643565E-1,1.246227913E0
2.150445000E0,1.070908593E-1,9.604455167E-1,3.143556690E-1,1.016239898E0
2.160457000E0,3.913918764E-2,7.200547868E-1,4.497163359E-1,8.498561966E-1
2.170469000E0,-6.510467151E-2,7.408445621E-1,3.807952416E-1,8.355203764E-1
2.180481000E0,-2.034745166E-2,8.679811567E-1,8.257419672E-3,8.682588855E-1
2.190493000E0,-2.137713720E-2,9.238974953E-1,-3.192702538E-1,9.777407932E-1
2.200505000E0,-7.050367981E-2,9.121159405E-1,-3.118589079E-1,9.665310322E-1
2.210517000E0,-1.533783138E-1,8.792721301E-1,-2.333933852E-1,9.225599483E-1
2.220529000E0,-2.787853020E-1,9.865094805E-1,-1.480515003E-1,1.035780598E0
2.230542000E0,-4.912862751E-1,1.177745007E0,-1.068286300E-1,1.280569351E0
2.240554000E0,-7.203491941E-1,1.286040704E0,-4.500017166E-3,1.474050170E0
2.250566000E0,-1.022157323E0,1.291913647E0,2.430056413E-1,1.665202152E0
2.260578000E0,-1.306476138E0,1.247612218E0,3.948273166E-1,1.849136218E0
2.270590000E0,-1.318843583E0,9.890126735E-1,3.112156777E-1,1.677602356E0
